epoch,loss,mae,val_loss,val_mae
0,7972.41162109375,66.57010650634766,10533.7216796875,78.44166564941406
1,7879.62255859375,66.20719909667969,7815.57568359375,65.64742279052734
2,7847.0322265625,66.06672668457031,8029.28515625,66.78052520751953
3,7814.748046875,65.86392974853516,9683.763671875,74.384033203125
4,7552.380859375,64.02201080322266,10362.349609375,77.50342559814453
5,6753.0419921875,57.7164192199707,15673.9677734375,102.61542510986328
6,6031.2392578125,50.58561325073242,9669.12109375,71.38357543945312
7,5557.8984375,45.74190139770508,7701.287109375,59.11653137207031
8,5266.1640625,42.93585968017578,14141.4033203125,86.27597045898438
9,5083.22509765625,41.158084869384766,9983.9638671875,73.8549575805664
10,4943.1103515625,39.83880615234375,34542.80859375,159.4056396484375
11,4804.4306640625,38.59397506713867,7878.34423828125,50.44727325439453
12,4675.05859375,37.47381591796875,10223.521484375,73.88368225097656
13,4572.2568359375,36.4404182434082,25012.59765625,127.11381530761719
14,4485.30810546875,35.502376556396484,33124.5,150.2216033935547
15,4406.16748046875,34.80558395385742,24850.06640625,114.29608917236328
16,4300.2431640625,33.912147521972656,5803.61767578125,41.61380386352539
17,4209.92138671875,33.04713439941406,9637.8623046875,71.42316436767578
18,4127.16748046875,32.312068939208984,9391.939453125,61.09716796875
19,4049.713134765625,31.56723976135254,8042.7216796875,61.74961471557617
20,4001.85498046875,31.010547637939453,6391.3154296875,44.86939239501953
21,3909.83837890625,30.39867401123047,8844.9609375,61.056339263916016
22,3861.412109375,29.949230194091797,9027.6650390625,63.75442123413086
23,3788.50927734375,29.37201499938965,5678.46240234375,39.29440689086914
24,3723.629150390625,28.935466766357422,7694.4541015625,54.96558380126953
25,3667.013427734375,28.45873260498047,17841.9609375,97.14519500732422
26,3626.79638671875,28.171987533569336,31360.892578125,130.0039825439453
27,3565.941650390625,27.675609588623047,7544.23828125,50.241416931152344
28,3523.226806640625,27.378677368164062,26562.654296875,109.51554107666016
29,3452.05810546875,26.908113479614258,4791.7216796875,33.327491760253906
30,3395.851318359375,26.563913345336914,18453.095703125,83.41062927246094
31,3363.816162109375,26.324047088623047,4429.1611328125,27.883840560913086
32,3303.02734375,25.909568786621094,5256.453125,33.098941802978516
33,3249.201904296875,25.535388946533203,6254.40380859375,39.67108917236328
